Season,League,Metric,Messi,Ronaldo
2009-10,Champions League,Appearances,11,6
2009-10,Champions League,Assists,0,2
2009-10,Champions League,Goals,8,7
2009-10,Champions League,Mins,985,450
2009-10,La Liga,Appearances,35,29
2009-10,La Liga,Assists,13,11
2009-10,La Liga,Goals,34,26
2009-10,La Liga,Mins,2841,2462
2010-11,Champions League,Appearances,13,12
2010-11,Champions League,Assists,4,4
2010-11,Champions League,Goals,12,6
2010-11,Champions League,Mins,1050,1018
2010-11,La Liga,Appearances,33,34
2010-11,La Liga,Assists,21,13
2010-11,La Liga,Goals,31,40
2010-11,La Liga,Mins,2862,2914
2011-12,Champions League,Appearances,11,10
2011-12,Champions League,Assists,9,4
2011-12,Champions League,Goals,14,10
2011-12,Champions League,Mins,990,930
2011-12,La Liga,Appearances,37,38
2011-12,La Liga,Assists,20,13
2011-12,La Liga,Goals,50,46
2011-12,La Liga,Mins,3270,3353
2012-13,Champions League,Appearances,11,12
2012-13,Champions League,Assists,3,1
2012-13,Champions League,Goals,8,12
2012-13,Champions League,Mins,827,1080
2012-13,La Liga,Appearances,32,34
2012-13,La Liga,Assists,14,11
2012-13,La Liga,Goals,46,34
2012-13,La Liga,Mins,2629,2716
2013-14,Champions League,Appearances,7,11
2013-14,Champions League,Assists,1,6
2013-14,Champions League,Goals,8,17
2013-14,Champions League,Mins,630,991
2013-14,La Liga,Appearances,31,30
2013-14,La Liga,Assists,12,11
2013-14,La Liga,Goals,28,31
2013-14,La Liga,Mins,2498,2537
2014-15,Champions League,Appearances,13,12
2014-15,Champions League,Assists,6,4
2014-15,Champions League,Goals,10,10
2014-15,Champions League,Mins,1145,1064
2014-15,La Liga,Appearances,38,35
2014-15,La Liga,Assists,21,16
2014-15,La Liga,Goals,43,48
2014-15,La Liga,Mins,3375,3096
2015-16,Champions League,Appearances,7,12
2015-16,Champions League,Assists,1,4
2015-16,Champions League,Goals,6,16
2015-16,Champions League,Mins,630,1109
2015-16,La Liga,Appearances,33,36
2015-16,La Liga,Assists,16,11
2015-16,La Liga,Goals,26,35
2015-16,La Liga,Mins,2729,3184
2016-17,Champions League,Appearances,9,13
2016-17,Champions League,Assists,2,5
2016-17,Champions League,Goals,11,12
2016-17,Champions League,Mins,810,1200
2016-17,La Liga,Appearances,34,29
2016-17,La Liga,Assists,9,6
2016-17,La Liga,Goals,37,25
2016-17,La Liga,Mins,2832,2544
2017-18,Champions League,Appearances,10,13
2017-18,Champions League,Assists,2,3
2017-18,Champions League,Goals,6,15
2017-18,Champions League,Mins,783,1170
2017-18,La Liga,Appearances,36,27
2017-18,La Liga,Assists,12,5
2017-18,La Liga,Goals,34,26
2017-18,La Liga,Mins,2996,2297